iter	Passed	Remaining
0	60	5995
1	128	6289
2	200	6472
3	275	6614
4	342	6503
5	412	6470
6	482	6416
7	554	6372
8	617	6239
9	690	6215
10	759	6145
11	829	6085
12	896	6000
13	967	5943
14	1033	5856
15	1109	5825
16	1181	5767
17	1260	5741
18	1334	5690
19	1404	5618
20	1475	5552
21	1546	5483
22	1618	5419
23	1684	5335
24	1755	5267
25	1824	5193
26	1903	5145
27	1975	5080
28	2046	5009
29	2110	4925
30	2174	4839
31	2243	4767
32	2314	4699
33	2385	4629
34	2448	4547
35	2523	4485
36	2601	4429
37	2677	4369
38	2747	4297
39	2816	4224
40	2891	4161
41	2961	4089
42	3024	4009
43	3092	3936
44	3162	3865
45	3239	3803
46	3310	3732
47	3382	3663
48	3452	3592
49	3522	3522
50	3593	3452
51	3669	3386
52	3738	3315
53	3808	3243
54	3881	3175
55	3952	3105
56	4030	3040
57	4104	2972
58	4173	2900
59	4238	2825
60	4302	2751
61	4372	2679
62	4446	2611
63	4520	2542
64	4587	2470
65	4656	2399
66	4720	2324
67	4790	2254
68	4860	2183
69	4925	2111
70	4992	2039
71	5067	1970
72	5143	1902
73	5216	1832
74	5292	1764
75	5365	1694
76	5436	1623
77	5504	1552
78	5571	1481
79	5643	1410
80	5711	1339
81	5785	1269
82	5858	1199
83	5930	1129
84	5995	1058
85	6065	987
86	6133	916
87	6204	846
88	6273	775
89	6342	704
90	6415	634
91	6483	563
92	6557	493
93	6633	423
94	6707	353
95	6776	282
96	6840	211
97	6903	140
98	6972	70
99	7043	0
